model,lake,cali,metric,value
GOTM,Allequash,calibrated,rmse,1.5428571738848
GOTM,Allequash,calibrated,nse,0.950285703106711
GOTM,Allequash,calibrated,r,0.975372865979665
GOTM,Allequash,calibrated,bias,-0.225004865400485
GOTM,Alqueva,calibrated,rmse,0.944792697877346
GOTM,Alqueva,calibrated,nse,0.951363579091848
GOTM,Alqueva,calibrated,r,0.976907776397665
GOTM,Alqueva,calibrated,bias,-0.085907579052053
GOTM,Annie,calibrated,rmse,1.3371047937636
GOTM,Annie,calibrated,nse,0.899599389318713
GOTM,Annie,calibrated,r,0.95219773091812
GOTM,Annie,calibrated,bias,-0.00426183941935355
GOTM,Arendsee,calibrated,rmse,0.757433951453038
GOTM,Arendsee,calibrated,nse,0.962253976570146
GOTM,Arendsee,calibrated,r,0.982262601508385
GOTM,Arendsee,calibrated,bias,-0.120070808660927
GOTM,Argyle,calibrated,rmse,0.828571029090081
GOTM,Argyle,calibrated,nse,0.900536521246712
GOTM,Argyle,calibrated,r,0.96503876955645
GOTM,Argyle,calibrated,bias,-0.0751337098844871
GOTM,Biel,calibrated,rmse,1.3421703276039
GOTM,Biel,calibrated,nse,0.915981578474721
GOTM,Biel,calibrated,r,0.957668406404702
GOTM,Biel,calibrated,bias,0.00976021649639681
GOTM,BigMuskellunge,calibrated,rmse,1.35748655856118
GOTM,BigMuskellunge,calibrated,nse,0.951981108034388
GOTM,BigMuskellunge,calibrated,r,0.97910598210497
GOTM,BigMuskellunge,calibrated,bias,-0.474527582679798
GOTM,BlackOak,calibrated,rmse,1.01548287660938
GOTM,BlackOak,calibrated,nse,0.972546256056363
GOTM,BlackOak,calibrated,r,0.986664767238108
GOTM,BlackOak,calibrated,bias,-0.0650705093732188
GOTM,Bosumtwi,calibrated,rmse,0.353390952108742
GOTM,Bosumtwi,calibrated,nse,0.855492550610234
GOTM,Bosumtwi,calibrated,r,0.935677903908317
GOTM,Bosumtwi,calibrated,bias,0.0791757638560003
GOTM,Bryrup,calibrated,rmse,1.66686362946301
GOTM,Bryrup,calibrated,nse,0.905642454887935
GOTM,Bryrup,calibrated,r,0.981646483019121
GOTM,Bryrup,calibrated,bias,-0.541683486466793
GOTM,BurleyGriffin,calibrated,rmse,1.4655551844756
GOTM,BurleyGriffin,calibrated,nse,0.895401358756662
GOTM,BurleyGriffin,calibrated,r,0.973509479791957
GOTM,BurleyGriffin,calibrated,bias,-0.212439963339458
GOTM,Chao,calibrated,rmse,2.12970990254518
GOTM,Chao,calibrated,nse,0.93452066670239
GOTM,Chao,calibrated,r,0.974891169568625
GOTM,Chao,calibrated,bias,0.319180579388395
GOTM,Crystal,calibrated,rmse,1.1677643781004
GOTM,Crystal,calibrated,nse,0.963454626038549
GOTM,Crystal,calibrated,r,0.98193477503507
GOTM,Crystal,calibrated,bias,0.0227076409700183
GOTM,CrystalBog,calibrated,rmse,3.09201770964427
GOTM,CrystalBog,calibrated,nse,0.828214219966193
GOTM,CrystalBog,calibrated,r,0.925803124978393
GOTM,CrystalBog,calibrated,bias,-0.515095375967058
GOTM,Delavan,calibrated,rmse,1.69510106684689
GOTM,Delavan,calibrated,nse,0.939962233013787
GOTM,Delavan,calibrated,r,0.971882770831843
GOTM,Delavan,calibrated,bias,-0.257050085270432
GOTM,Dickie,calibrated,rmse,1.43057216317012
GOTM,Dickie,calibrated,nse,0.933698941420194
GOTM,Dickie,calibrated,r,0.969973679269374
GOTM,Dickie,calibrated,bias,-0.441666381085022
GOTM,Eagle,calibrated,rmse,1.96210807172019
GOTM,Eagle,calibrated,nse,0.906884877294982
GOTM,Eagle,calibrated,r,0.956023019425851
GOTM,Eagle,calibrated,bias,0.344751519113726
GOTM,Ekoln,calibrated,rmse,1.20365582333239
GOTM,Ekoln,calibrated,nse,0.948320914024166
GOTM,Ekoln,calibrated,r,0.975152182044003
GOTM,Ekoln,calibrated,bias,-0.232918022622956
GOTM,Erken,calibrated,rmse,1.1966692785508
GOTM,Erken,calibrated,nse,0.95928527167031
GOTM,Erken,calibrated,r,0.982308360802981
GOTM,Erken,calibrated,bias,-0.120139588017846
GOTM,EsthwaiteWater,calibrated,rmse,1.41852799617392
GOTM,EsthwaiteWater,calibrated,nse,0.896220100983735
GOTM,EsthwaiteWater,calibrated,r,0.978988011536996
GOTM,EsthwaiteWater,calibrated,bias,-0.257606650531211
GOTM,FallingCreek,calibrated,rmse,1.90490162271008
GOTM,FallingCreek,calibrated,nse,0.875856004606661
GOTM,FallingCreek,calibrated,r,0.963891087287612
GOTM,FallingCreek,calibrated,bias,0.259982608312231
GOTM,Feeagh,calibrated,rmse,1.33944361360212
GOTM,Feeagh,calibrated,nse,0.852841648820767
GOTM,Feeagh,calibrated,r,0.963112208278634
GOTM,Feeagh,calibrated,bias,-0.391270524794746
GOTM,Fish,calibrated,rmse,1.48997585621683
GOTM,Fish,calibrated,nse,0.944797282701935
GOTM,Fish,calibrated,r,0.974346028962511
GOTM,Fish,calibrated,bias,-0.283323163627036
GOTM,GreatPond,calibrated,rmse,1.46871889933349
GOTM,GreatPond,calibrated,nse,0.925150368237426
GOTM,GreatPond,calibrated,r,0.972190742181195
GOTM,GreatPond,calibrated,bias,-0.563669203773592
GOTM,Green,calibrated,rmse,1.04123128299278
GOTM,Green,calibrated,nse,0.966373011641993
GOTM,Green,calibrated,r,0.983561198714161
GOTM,Green,calibrated,bias,-0.106859526247545
GOTM,Harp,calibrated,rmse,0.882299243506778
GOTM,Harp,calibrated,nse,0.965538560403991
GOTM,Harp,calibrated,r,0.983499923051956
GOTM,Harp,calibrated,bias,-0.138905646947333
GOTM,Hassel,calibrated,rmse,1.03024901687396
GOTM,Hassel,calibrated,nse,0.952414897328231
GOTM,Hassel,calibrated,r,0.980812954250128
GOTM,Hassel,calibrated,bias,0.0194369976145164
GOTM,Hulun,calibrated,rmse,2.32279058194886
GOTM,Hulun,calibrated,nse,0.938791715936776
GOTM,Hulun,calibrated,r,0.969141978247505
GOTM,Hulun,calibrated,bias,0.116087573858083
GOTM,Kilpisjarvi,calibrated,rmse,1.0822528641808
GOTM,Kilpisjarvi,calibrated,nse,0.837946397018173
GOTM,Kilpisjarvi,calibrated,r,0.916349788792859
GOTM,Kilpisjarvi,calibrated,bias,-0.0469301416589177
GOTM,Kinneret,calibrated,rmse,0.96720749701637
GOTM,Kinneret,calibrated,nse,0.955536275267681
GOTM,Kinneret,calibrated,r,0.977839892057826
GOTM,Kinneret,calibrated,bias,0.0693595420918017
GOTM,Kivu,calibrated,rmse,0.552469261660598
GOTM,Kivu,calibrated,nse,-0.361914273400774
GOTM,Kivu,calibrated,r,0.768708328517448
GOTM,Kivu,calibrated,bias,0.447476379792814
GOTM,Klicava,calibrated,rmse,1.47514716307889
GOTM,Klicava,calibrated,nse,0.958338857764114
GOTM,Klicava,calibrated,r,0.980124113160053
GOTM,Klicava,calibrated,bias,-0.102653548233886
GOTM,Kuivajarvi,calibrated,rmse,1.29265411864481
GOTM,Kuivajarvi,calibrated,nse,0.944608314457549
GOTM,Kuivajarvi,calibrated,r,0.978808485453027
GOTM,Kuivajarvi,calibrated,bias,-0.50591039381341
GOTM,Langtjern,calibrated,rmse,1.29418355249408
GOTM,Langtjern,calibrated,nse,0.878296012194461
GOTM,Langtjern,calibrated,r,0.940401372157311
GOTM,Langtjern,calibrated,bias,-0.280561861506091
GOTM,Laramie,calibrated,rmse,0.72845296791129
GOTM,Laramie,calibrated,nse,0.960893076748292
GOTM,Laramie,calibrated,r,0.981066745615106
GOTM,Laramie,calibrated,bias,-0.0368790318365811
GOTM,LowerLakeZurich,calibrated,rmse,0.880828868965436
GOTM,LowerLakeZurich,calibrated,nse,0.968462860765586
GOTM,LowerLakeZurich,calibrated,r,0.984211117163895
GOTM,LowerLakeZurich,calibrated,bias,0.0124589440323514
GOTM,Mendota,calibrated,rmse,1.42580534870346
GOTM,Mendota,calibrated,nse,0.950126306597253
GOTM,Mendota,calibrated,r,0.974862104399177
GOTM,Mendota,calibrated,bias,-0.0878987763049779
GOTM,Monona,calibrated,rmse,1.57157567588741
GOTM,Monona,calibrated,nse,0.933625267651577
GOTM,Monona,calibrated,r,0.969997480005316
GOTM,Monona,calibrated,bias,-0.363558726451719
GOTM,Mozhaysk,calibrated,rmse,1.15967609249769
GOTM,Mozhaysk,calibrated,nse,0.895829276595826
GOTM,Mozhaysk,calibrated,r,0.952675946896625
GOTM,Mozhaysk,calibrated,bias,-0.126051160999903
GOTM,MtBold,calibrated,rmse,1.73469896574659
GOTM,MtBold,calibrated,nse,0.787725034591853
GOTM,MtBold,calibrated,r,0.889012801288505
GOTM,MtBold,calibrated,bias,-0.189768688342814
GOTM,Muggelsee,calibrated,rmse,1.18224032738677
GOTM,Muggelsee,calibrated,nse,0.968177863789627
GOTM,Muggelsee,calibrated,r,0.992283363452188
GOTM,Muggelsee,calibrated,bias,-0.351064852899551
GOTM,Murten,calibrated,rmse,1.28214467672396
GOTM,Murten,calibrated,nse,0.937728374838278
GOTM,Murten,calibrated,r,0.969295813554485
GOTM,Murten,calibrated,bias,-0.163646046624259
GOTM,Neuchatel,calibrated,rmse,1.26598960841654
GOTM,Neuchatel,calibrated,nse,0.927276222180218
GOTM,Neuchatel,calibrated,r,0.963517797575357
GOTM,Neuchatel,calibrated,bias,0.0506128824315779
GOTM,Ngoring,calibrated,rmse,0.932026773543489
GOTM,Ngoring,calibrated,nse,0.941861274435532
GOTM,Ngoring,calibrated,r,0.970750613470739
GOTM,Ngoring,calibrated,bias,0.0288779565591884
GOTM,NohipaloMustjarv,calibrated,rmse,2.00337613830946
GOTM,NohipaloMustjarv,calibrated,nse,0.871018741519367
GOTM,NohipaloMustjarv,calibrated,r,0.963215705543096
GOTM,NohipaloMustjarv,calibrated,bias,-0.60188163654942
GOTM,NohipaloValgejarv,calibrated,rmse,1.93557546803461
GOTM,NohipaloValgejarv,calibrated,nse,0.893133283782705
GOTM,NohipaloValgejarv,calibrated,r,0.975273042477054
GOTM,NohipaloValgejarv,calibrated,bias,-1.13527877238114
GOTM,Okauchee,calibrated,rmse,1.41600117947049
GOTM,Okauchee,calibrated,nse,0.95918774716005
GOTM,Okauchee,calibrated,r,0.982001734316368
GOTM,Okauchee,calibrated,bias,-0.286906768112027
GOTM,Paajarvi,calibrated,rmse,0.921567272817953
GOTM,Paajarvi,calibrated,nse,0.952502952233563
GOTM,Paajarvi,calibrated,r,0.980260730834644
GOTM,Paajarvi,calibrated,bias,-0.370015247973118
GOTM,Rappbode,calibrated,rmse,0.906285755704661
GOTM,Rappbode,calibrated,nse,0.954407205961707
GOTM,Rappbode,calibrated,r,0.976975325302842
GOTM,Rappbode,calibrated,bias,-0.0096243782896641
GOTM,Rappbodep,calibrated,rmse,1.13710601914003
GOTM,Rappbodep,calibrated,nse,0.924241300346727
GOTM,Rappbodep,calibrated,r,0.970766448678649
GOTM,Rappbodep,calibrated,bias,-0.062544244052158
GOTM,Rimov,calibrated,rmse,1.58011622413385
GOTM,Rimov,calibrated,nse,0.899439367087187
GOTM,Rimov,calibrated,r,0.948942235641166
GOTM,Rimov,calibrated,bias,0.0322440372840417
GOTM,Rotorua,calibrated,rmse,1.22394239621133
GOTM,Rotorua,calibrated,nse,0.909414318036049
GOTM,Rotorua,calibrated,r,0.980867924380487
GOTM,Rotorua,calibrated,bias,-0.115705585183827
GOTM,Sammamish,calibrated,rmse,1.13484312904996
