Lake.Name,Lake.Short.Name,Lake.Name.Folder,Reservoir.or.lake.,Country,latitude.dec.deg,longitude.dec.deg,elevation.m,mean.depth.m,max.depth.m,lake.area.sqkm,Average.Secchi.disk.depth.m,Light.extinction.coefficient.m,Duration,months_meas,reldepth_median,months_median,depth_meas
Allequash Lake,Allequash,allequash,lake,USA,46.04,-89.62,494,2.9,8,1.64,3.2,NA,335.534.246.575.342,12,375,7,14
Alqueva Reservoir,Alqueva,alqueva,reservoir,Portugal,38.2,-7.49,152,16.6,92,250,3.15,0.69,534.520.547.945.205,12,65.217.391.304.348,6,14
Lake Annie,Annie,annie,lake,USA,27.21,-81.35,33.7,8.57,20.7,0.36,NA,NA,101.068.493.150.685,12,434.782.608.695.652,7,19
Lake Argyle,Argyle,argyle,reservoir,Australia,-16.31,128.68,100,10.1,51,980,NA,0.89,153.972.602.739.726,7,27.843.137.254.902,8,1100
Lake Biel,Biel,biel,lake,Switzerland,47.08,7.16,429,30,74,39.3,NA,0.51,428.630.136.986.301,12,27.027.027.027.027,6,13
Big Muskellunge Lake,BigMuskellunge,bigmuskellunge,lake,USA,46.02,-89.61,500,7.5,21.3,3.63,6.6,NA,334.438.356.164.384,12,422.535.211.267.606,7,24
Black Oak Lake,BlackOak,blackoak,lake,USA,46.16,-89.32,521.51,10.36,25.91,2.28,3.2,NA,111.205.479.452.055,10,470.551.910.459.282,7,12
Lake Burley Griffin,BurleyGriffin,burleygriffin,reservoir,Australia,-35.3,149.07,556,5,17,6.64,1.4,NA,296.712.328.767.123,12,411.764.705.882.353,5,64
Crystal Lake,Crystal,crystal,lake,USA,46,-89.61,501,10.4,20.4,0.38,7.5,NA,30.586.301.369.863,12,441.176.470.588.235,7,27
Crystal Bog,CrystalBog,crystalbog,lake,USA,46.01,-89.61,501.5,1.7,2.5,0.01,1.5,NA,332.876.712.328.767,12,0.4,7,9
Delavan Lake,Delavan,delavan,lake,USA,42.61,-88.6,282.55,7.61,16.46,6.96,3.53,NA,214.821.917.808.219,10,486.026.731.470.231,7,31
Dickie Lake,Dickie,dickie,lake,Canada,45.15,-79.09,341,5,12,0.94,3.08,NA,105.534.246.575.342,8,416.666.666.666.667,8,20
Eagle Lake,Eagle,eagle,lake,Canada,44.68,-76.7,190,10.1,31.1,6.65,4.62,NA,19.972.602.739.726,12,704.180.064.308.682,7,15
Ekoln basin of Malaren,Ekoln,ekoln,lake,Sweden,59.75,17.62,0.7,11.5,50,20.18,NA,1.09,664.657.534.246.575,12,0.26,6,93
